pitch,time_start,duration,beat_type,string,position,finger
81,0,240,8th,N/A,N/A,N/A
81,160,120,8th,N/A,N/A,N/A
81,240,240,8th,N/A,N/A,N/A
81,399,120,8th,N/A,N/A,N/A
81,0,0,8th,N/A,N/A,N/A
79,79,0,16th,N/A,N/A,N/A
77,120,120,16th,N/A,N/A,N/A
76,160,120,8th,N/A,N/A,N/A
76,240,120,16th,N/A,N/A,N/A
77,240,120,16th,N/A,N/A,N/A
76,240,120,8th,N/A,N/A,N/A
75,320,120,8th,N/A,N/A,N/A
76,399,240,8th,N/A,N/A,N/A
77,0,120,8th,N/A,N/A,N/A
77,160,240,8th,N/A,N/A,N/A
77,240,120,8th,N/A,N/A,N/A
77,399,120,8th,N/A,N/A,N/A
77,0,60,8th,N/A,N/A,N/A
76,79,60,16th,N/A,N/A,N/A
74,120,120,16th,N/A,N/A,N/A
72,160,120,8th,N/A,N/A,N/A
72,240,60,16th,N/A,N/A,N/A
74,240,60,16th,N/A,N/A,N/A
72,240,120,8th,N/A,N/A,N/A
71,320,120,8th,N/A,N/A,N/A
72,399,60,8th,N/A,N/A,N/A
76,0,60,8th,N/A,N/A,N/A
76,160,60,8th,N/A,N/A,N/A
76,240,60,4th,N/A,N/A,N/A
76,399,240,8th,N/A,N/A,N/A
76,0,120,8th,N/A,N/A,N/A
74,79,0,16th,N/A,N/A,N/A
72,120,0,16th,N/A,N/A,N/A
67,160,120,8th,N/A,N/A,N/A
64,320,120,16th,N/A,N/A,N/A
65,360,120,16th,N/A,N/A,N/A
67,399,120,16th,N/A,N/A,N/A
69,440,120,16th,N/A,N/A,N/A
65,0,120,16th,N/A,N/A,N/A
69,40,120,16th,N/A,N/A,N/A
74,79,120,16th,N/A,N/A,N/A
77,120,120,16th,N/A,N/A,N/A
81,160,120,8th,N/A,N/A,N/A
59,320,60,8th,N/A,N/A,N/A
65,440,60,16th,N/A,N/A,N/A
65,0,120,4th,N/A,N/A,N/A
64,160,0,8th,N/A,N/A,N/A
76,240,0,16th,N/A,N/A,N/A
77,240,120,16th,N/A,N/A,N/A
76,240,120,8th,N/A,N/A,N/A
75,320,120,8th,N/A,N/A,N/A
76,399,120,8th,N/A,N/A,N/A
81,0,120,8th,N/A,N/A,N/A
81,160,120,8th,N/A,N/A,N/A
81,240,120,8th,N/A,N/A,N/A
81,399,120,8th,N/A,N/A,N/A
81,0,120,8th,N/A,N/A,N/A
79,79,120,16th,N/A,N/A,N/A
78,120,60,16th,N/A,N/A,N/A
76,160,60,8th,N/A,N/A,N/A
76,240,120,16th,N/A,N/A,N/A
78,240,0,16th,N/A,N/A,N/A
76,240,0,8th,N/A,N/A,N/A
75,320,120,8th,N/A,N/A,N/A
76,399,120,8th,N/A,N/A,N/A
77,0,120,4th,N/A,N/A,N/A
77,160,120,8th,N/A,N/A,N/A
77,240,120,4th,N/A,N/A,N/A
77,399,120,8th,N/A,N/A,N/A
77,0,240,8th,N/A,N/A,N/A
76,79,120,16th,N/A,N/A,N/A
74,120,120,16th,N/A,N/A,N/A
72,160,60,8th,N/A,N/A,N/A
72,240,60,16th,N/A,N/A,N/A
74,240,120,16th,N/A,N/A,N/A
72,240,120,8th,N/A,N/A,N/A
71,320,60,8th,N/A,N/A,N/A
72,399,60,8th,N/A,N/A,N/A
76,0,60,8th,N/A,N/A,N/A
76,160,60,8th,N/A,N/A,N/A
76,240,60,4th,N/A,N/A,N/A
76,399,60,8th,N/A,N/A,N/A
76,0,60,8th,N/A,N/A,N/A
74,79,60,16th,N/A,N/A,N/A
72,120,120,16th,N/A,N/A,N/A
67,160,120,8th,N/A,N/A,N/A
76,320,180,16th,N/A,N/A,N/A
77,360,60,16th,N/A,N/A,N/A
79,399,240,16th,N/A,N/A,N/A
81,440,120,16th,N/A,N/A,N/A
77,0,0,16th,N/A,N/A,N/A
81,40,0,16th,N/A,N/A,N/A
86,79,120,16th,N/A,N/A,N/A
89,120,120,16th,N/A,N/A,N/A
93,160,120,8th,N/A,N/A,N/A
59,320,120,8th,N/A,N/A,N/A
59,440,120,16th,N/A,N/A,N/A
